name,lat,lng,address,zone,city
AH Block,22.5965541,88.4264543,"Sector II, Bidhannagar - 700101, WB, India",CCU-E,Kolkata
AJ Block,22.5921092,88.4288779,"Sector II, Bidhannagar - 700101, WB, India",CCU-E,Kolkata
AK Block,22.5891537,88.4313014,"Sector II, Bidhannagar - 700102, WB, India",CCU-E,Kolkata
AL Block,22.5861982,88.4337248,"175, Bidhannagar - 700135, WB, India",CCU-E,Kolkata
Aaikatan Sarbojanin Durgotsab,22.474439,88.321434,"Dhar Para, Netaji Pally, Purba Barisha, Kolkata, West Bengal 700063",CCU-S,Kolkata
Abasar Sarbojonin,22.527562,88.348897,"Rakhal Mukherjee Road, Ward 72, Kolkata - 700053, WB, India",CCU-S,Kolkata
Abasarika Club,22.508394,88.369281,"Dakuria Kali Bari Lane, Dhakuria, Kolkata - 700031, WB, India",CCU-S,Kolkata
Acharya Prafulla Sangha,22.490906,88.313275,"P-7, Dr Akshay Kumar Paul Rd, Shimultala, Gopinagar, Behala, Kolkata, West Bengal 700034",CCU-S,Kolkata
Adarsha Pally Sarbojanin Durgotsav Committee,22.499953,88.327701,"No 165, Roy Bahadur Rd, Buroshibtalla, Behala, Kolkata, West Bengal 700034",CCU-S,Kolkata
Adarsha Sangha Sarbojanin,22.591235,88.300301,"Sastitala, 711104, Howrah Mangol Hat, Santragachi, Ramrajatala, Howrah, West Bengal 711104",HWH,Kolkata
Adhar Laal Sen,22.596865,88.358915,"Golak Dutta Ln, Kashi Mitra, Kolkata - 700003, WB, India",CCU-N,Kolkata
Adhibasi Brinda (Kanai Dhar Lane),22.572353,88.365262,"25/8A, Kanai Dhar Lane Kolkata, Kolkata, West Bengal 700012",CCU-C,Kolkata
Adi Babubagan,22.507975,88.370909,"52 Babubagan Lane, Dhakuria, Kolkata-700039",CCU-S,Kolkata
Adi Ballygunge,22.529564,88.37265,"Bondel Road Flyover, Ballygunge, Kolkata - 700042, WB, India",CCU-S,Kolkata
Adi Ballygunge Sarbojanin Durga Puja Parishad,22.516887,88.371526,"71, Ballygunge Gardens Kolkata 700029",CCU-S,Kolkata
Adi Dakshin Kalikata Barowari Samittee,22.516787,88.343197,"Rash Behari, Sahanagar, Kalighat, Kolkata, West Bengal 700026",CCU-S,Kolkata
Adi Debensen Road Sarbojonin Durgotsav Committee,22.6849435,88.3863676,"Sodepur, Kamarhati - 700109, WB, India",CCU-N,Kolkata
Adi Lake Palli Club,22.514823,88.349521,"Adi Lake Palli Club,, Lake Place Road, Kalighat, Kolkata, West Bengal 700029",CCU-S,Kolkata
Adi Tarapukur Durgotsav Samity,22.6859462,88.3867961,"Sodepur, Kamarhati - 700109, WB, India",CCU-N,Kolkata
Agarpara Kalyan Samity Club,22.6840908,88.3831329,"Kamarhati - 700109, WB, India",CCU-N,Kolkata
Agarpara Youth Recreation Centre Durgotsab,22.684524,88.3726735,"Sodepur, Kamarhati - 700058, WB, India",CCU-N,Kolkata
Agradoot Durga Mandir,22.56999,88.311158,"700,, Sarat Chatterjee Rd, Mandirtala, Naora, Shibpur, Howrah, West Bengal 711102",HWH,Kolkata
Agradoot Durgotsab Samity,22.522025,88.369187,"1A, Cornfield Road, Ballygunge, Kolkata 700019",CCU-S,Kolkata
Agradut Udaya Sangha,22.533835,88.341946,"32B, D.N.Ghosh Road, Kolkata, West Bengal 700025",CCU-S,Kolkata
Ahiritola Jubak Brinda,22.5944,88.358788,"Nimu Gossain Lane, Shobha Bazar, Kolkata - 700003, WB, India",CCU-N,Kolkata
Ahiritola Sarbajanin Sarodotsab,22.594882,88.357176,"172/C, BK Paul Ave, Ahiritola, Beniatola, Kolkata, West Bengal 700005",CCU-N,Kolkata
Ahiritola Sarbojanin Durgotsav Samity,22.592818,88.356809,"30/C, B.K. Pal Avenue, Kolkata, West Bengal 700005",CCU-N,Kolkata
Aikya Sammilani,22.504429,88.318611,"Behala BalanAnda Brahmachari Hospital And Research Center, 151, Diamond Harbour Road, New Alipore, Kolkata - 700034, WB, India",CCU-S,Kolkata
Ajeya Sanghati,22.480887,88.337692,"47, Mahatma Gandhi Rd, Haridevpur, Paschim Putiary, Kolkata, West Bengal 700082",CCU-S,Kolkata
Ajoynagar Sarbojanin Durgotsav Society,22.488852,88.396304,"Ajoy Nagar, Mukundapur, Kolkata, West Bengal 700075",CCU-S,Kolkata
Akra Sarbojanin Durgotsab Commitee,22.518211,88.238514,"Akra, Santoshpur, Kolkata, West Bengal 700140",CCU-S,Kolkata
Akrur Dutta Dalanbari,22.565216,88.359976,"Akrur Dutta Ln, Chandni Chowk, Kolkata - 700013, WB, India",CCU-N,Kolkata
Alipore Sarbojanin Durgotsav Committee,22.518574,88.335492,"27/1 A, Alipore Road, Alipore, Kolkata, West Bengal 700027",CCU-S,Kolkata
Amarabati Durga Puja Committee,22.523788,88.392602,"220, Naskarhat Rd, Amrabati, Kasba, Kolkata, West Bengal 700039",CCU-S,Kolkata
Amarabati Kalyan Samiti ,22.6986888,88.3884876,"Sodepur, Khardaha - 700110, WB, India",CCU-N,Kolkata
Amardip Sangha,22.484463,88.330514,"192, Motilal Gupta Rd, Sodepur Kalitala, Sukanta Pally, Barisha, Kolkata, West Bengal 700082",CCU-S,Kolkata
Amarendra Bhavan,22.501385,88.318826,"4/1, Roy Bahadur Rd, Auddy",CCU-S,Kolkata
Ambagan Durga Puja,22.590099,88.240726,"Kamrangu, Andul, Mahiari, West Bengal 711302",HWH,Kolkata
Amherst Sarbojanin Durgotsab,22.57877,88.369713,"50, Raja Ram Mohan Sarani, Machuabazar, Kolkata, West Bengal 700009",CCU-C,Kolkata
Amra Sabai - Ramdulal Sarkar Street,22.588011,88.366857,"Ramdulal Sarkar Street, Girish Park, Kolkata - 700003, WB, India",CCU-N,Kolkata
Amritlal Dawn Debottar Estate,22.596382,88.361089,"Daw Ln, Ward 19, Kolkata - 700037, WB, India",CCU-N,Kolkata
Ananda Complex Residential Durga Puja Committee,22.616942,88.383574,"Ananda Complex, Nilmoni Dey Ln, Mitrabagan Basti, Paikpara, Kolkata, West Bengal 700002",CCU-N,Kolkata
Andul Dutta Chaudhury Bari Durga Puja,22.584944,88.232921,"Dutta Chaudhury Bari Ln, Andul, Argari, West Bengal 711302",HWH,Kolkata
Anupama Housing Complex,22.629539,88.432876,"Rajarhat Gopalpur, Bidhannagar - 700052, WB, India",CCU-N,Kolkata
Ariadaha Jubak Sangha,22.6714013,88.3634263,"Baranagar - 700057, WB, India",CCU-N,Kolkata
Arjunpur Amra Sabai Club,22.62433,88.42446,"Radha Krishna Sweets, NB - 116, E Mall Rd, Bidhannagar - 700080, WB, India",CCU-N,Kolkata
Arunachal Sarbojanin Durgotsab Committee,22.692721,88.384381,"Arunachal, Sodepur, Khardaha, West Bengal 700110",CCU-N,Kolkata
Arupara Milan Sangha - Howrah,22.597847,88.300949,"Howrah - 711112, WB, India",HWH,Kolkata
Aswininagar Sarbojanin Durgotsav [Abhiyatrik Club],22.606977,88.43276,"Aswininagar, Baguiati, Kolkata, West Bengal 700159",CCU-E,Kolkata
Azadgarh,22.484604,88.356171,"Minapara Road, Aswini Nagar, Kolkata - 700092, WB, India",CCU-S,Kolkata
B. N. B. L. Netaji Sangha,22.661635,88.389285,"Nagendra Bhattacharjee Lane, Goyal Para, Belghoria , Kolkata 700056",CCU-N,Kolkata
BA Block,22.585133,88.459621,"BA Block, Action Area I,New Town, West Bengal 700156",CCU-E,Kolkata
BA Block,22.5888325,88.3985726,"BA Block, Bidhannagar - 700054, WB, India",CCU-E,Kolkata
BB Block Residents Association,22.591803,88.402764,"BB Block, Sector 1, Salt Lake City, Kolkata, West Bengal 700064",CCU-E,Kolkata
BC Block,22.5929856,88.4043323,"225, 1st Avenue, Sector I, Bidhannagar - 700064, WB, India",CCU-E,Kolkata
BD Block,22.5948864,88.4082726,"Sector I, Bidhannagar - 700064, WB, India",CCU-E,Kolkata
BD Block Sarbojanin Durgotsab,22.595025,88.407549,"BD Block, Sector 1, Salt Lake City, Kolkata, West Bengal 700064",CCU-E,Kolkata
BE (East) Puja Committee,22.597271,88.413822,"BE Block, Sector 1, Salt Lake City, Kolkata, West Bengal 700064",CCU-E,Kolkata
BE Block,22.5979131,88.4131218,"393, Sector I, Kolkata - 700064, WB, India",CCU-E,Kolkata
BG Block,22.5953985,88.4225156,"Sector II, Bidhannagar - 700101, WB, India",CCU-E,Kolkata
BH Block Society,22.593244,88.425314,"BH Block, Sector II, Salt Lake City, Kolkata, West Bengal 700091",CCU-E,Kolkata
BK Block,22.5876407,88.4288779,"Sector II, Bidhannagar - 700102, WB, India",CCU-E,Kolkata
BK Paul Park Sarbojanin Durgotsav,22.5958882,88.3596035,"19, BK Paul Avenue, Kolkata- 700005, West Bengal",CCU-N,Kolkata
BL Block,22.5846852,88.4313014,"Sector V, Bidhannagar - 700102, WB, India",CCU-E,Kolkata
BL Block Durga Puja,22.585153,88.430011,"BL Block,Sector-II, Salt Lake City, Kolkata, West Bengal 700091",CCU-E,Kolkata
Babubagan Club,22.507931,88.369024,"14, Babu Bagan Ln, Dhakuria, Babu Bagan, Selimpur, Kolkata, West Bengal 700031",CCU-S,Kolkata
Badamtala Ashar Sangha,22.517936,88.34375,"5, Nepal Bhattacharjee St, Kalighat, Kolkata, West Bengal 700026",CCU-S,Kolkata
Badan Chandra Roy Bari,22.575254,88.358339,"Colootola Street, Central Avenue 2, Kolkata - 700073, WB, India",CCU-N,Kolkata
Baganbari Athletic Club,22.571163,88.395721,"73, Narkel Danga Main Road , Kolkata - 700054",CCU-E,Kolkata
Bagbadini Bayam Samity,22.584392,88.327829,"10, Lakshman Das Lane, Kadam Tala, Howrah, West Bengal 711101",HWH,Kolkata
Bagbazar Sarbajanin Durgotsav,22.604635,88.366046,"Bagbazar St, Baghbazar, Kolkata, West Bengal 700003",CCU-N,Kolkata
Baghajatin B And C Block Durgotsav Committee [Baghajatin Sporting Club Durga Puja],22.484086,88.376085,"Baghajatin C Block, Chittaranjan Colony 6, Maidan, Kolkata, West Bengal 700092",CCU-S,Kolkata
Baghajatin Park Housing Society Puja Committee,22.47953,88.392807,"Krishak Pally, Pancha Sayar, Kolkata, West Bengal 700094",CCU-S,Kolkata
Baghajatin Udayan Sangha,22.485561,88.371257,"A/86/1, Bijoygarh, Layalka, Jadavpur, Kolkata, West Bengal 700092",CCU-S,Kolkata
Baghbazaar Haldarbari Durgapuja,22.603509,88.36674,"Bag Bazar, Kolkata - 700004, WB, India",CCU-N,Kolkata
Baghbazar Durga Puja Pandal,22.602178,88.372078,"Brindaban Pal Ln, Bidhan Sarani, Baghbazar, Kolkata, West Bengal 700003",CCU-N,Kolkata
Baghbazar Jagodharti,22.603493,88.371101,"Pasupati Bose Ln, Chitpur North, Kolkata - 700004, WB, India",CCU-N,Kolkata
Baghbazar Palli Puja O Pradarshani Durga Puja,22.602818,88.367354,"P/, 12, Bagbazar St, Bidhan Sarani, Baghbazar, Kolkata, West Bengal 700003",CCU-N,Kolkata
Baghbazar Sarbojonin Durga Puja,22.604677,88.367247,Sovabazar, Baghbazar,Kolkata
Baishali Pally Adhibasi Brinda,22.509778,88.390372,"P.Majumdar Road, Baishali Pally, Kolkata-700078",CCU-S,Kolkata
Baishnab Ghata Jatra Suru,22.470576,88.377922,"101B, Raja Subodh Chandra Mallick Rd, Baishnabghata, Garia, Kolkata, West Bengal 700047",CCU-S,Kolkata
Baishnabghata Pashimpara Sarbojanin Durgotsab,22.470842,88.37186,"5/1, Baishnabghata Bye Lane, Naktala, Garia, Kolkata-700047",CCU-S,Kolkata
Baishnabghata Patuli Upanagari,22.471201,88.380142,"Baghajatin, Kolkata - 700086, WB, India",CCU-S,Kolkata
Baishnabghata Patuli Upanagori Sarbojanin Durgotsab Committee,22.473449,88.387067,"J 77 ,Baishnabghata Patuli Township, Kolkata 700094",CCU-S,Kolkata
Baisnabdas Mallick Bari,22.587439,88.354258,"Darpanarayan Tagore St, Jagganath Ghat, Kolkata - 700007, WB, India",CCU-N,Kolkata
Bakul Bagan Sarbojanin,22.52673,88.347397,"Bhowanipore, Kolkata - 700025, WB, India",CCU-S,Kolkata
"Balak Brinda Club (Prafulla Kanan, Kestopur)",22.602103,88.424894,"AC 62, Prafulla Kanan Rd, Rabindrapally, Kestopur, Kolkata, West Bengal 700101",CCU-E,Kolkata
Balak Sangha,22.7046903,88.3721592,"Sodepur, Khardaha - 700114, WB, India",CCU-N,Kolkata
Balaka Abasan Puja Committee,22.574399,88.453674,"Balaka Abasan,CG Block, Action Area I, Newtown, Kolkata- 700156",CCU-E,Kolkata
Balaram Dey Street Dutta Bari,22.587589,88.362649,"159, Balaram Dey St, Ram Bagan, Kolkata, West Bengal 700006",CCU-N,Kolkata
Balia Baishakhi Sangha,22.465184,88.40057,"Garia Station Road, West Balia, Kolkata-700084",CCU-S,Kolkata
Bally Deshbandhu Club Durga Puja Committee (Bally House),22.644727,88.351644,"368, Grand Trunk Rd, Bally, Howrah, West Bengal 711201",HWH,Kolkata
Bally Jora-Aswathatala Sarbojonin,22.64695,88.341847,"78, Goswami Para Rd, Bally, Howrah, West Bengal 711201",HWH,Kolkata
Ballygunge Cultural Association,22.51614,88.355745,"Lake Terrace, Lake Terrace, Ballygunge, Kolkata, West Bengal 700029",CCU-S,Kolkata
Ballygunge Pally Sarbojanin Durgotsab Committee,22.526391,88.357686,"8B , Dover Road ,Kolkata-700026",CCU-S,Kolkata
Ballygunge Purba Pally,22.522062,88.371234,"276/2 P. C. Sarkar, Rash Behari, Rash Behari Ave, Ekdalia, Ballygunge, Kolkata, West Bengal 700019",CCU-S,Kolkata
Bandhab Pathagar,22.7019734,88.3680975,"Sodepur, Khardaha - 700114, WB, India",CCU-N,Kolkata
